GroupID,StateA,StateB,StateC


2,2089009,868637,4796
3,363543,307174,4804
4,88917,81730,4402
5,20364,17910,3813
6,4305,3883,3282
7,1150,732,2801
8,410,175,2182
9,197,59,1765
10,123,27,1218
11,57,15,897
12,42,15,718
13,23,8,490
14,20,13,352
15,17,5,268
16,9,4,176
17,4,2,122
18,2,8,82
19,3,0,51
20,6,1,43
21,3,0,24
22,2,0,20
23,1,0,10
24,0,0,6
25,1,0,5
26,0,0,5
27,1,0,2
28,1,0,3
29,0,0,4
30,0,0,4
31,0,0,6
32,1,0,1
33,1,0,3
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,3
38,0,0,5
40,0,0,6
41,0,0,1
42,0,0,3
43,0,0,3
44,0,0,5
45,0,0,5
46,0,0,4
47,0,0,5
48,0,0,2
49,0,0,2
50,0,0,4
51,0,0,3
52,0,0,3
53,0,0,3
54,0,0,2
56,0,0,2
57,0,0,3
58,0,0,1
59,0,0,4
60,0,0,3
61,0,0,3
62,0,0,2
63,0,0,3
64,0,0,2
66,0,0,2
67,0,0,2
76,0,0,1
77,0,0,2
78,0,0,1
79,0,0,2
80,0,0,2
81,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
92,0,0,2
93,0,0,4
103,0,0,1
105,0,0,1
106,0,0,2
118,0,0,1
