NORMALIZED HISTOGRAM per number of PairsofReads (%) with totnumPairs: 97 1
SharedKmers, PairsOfReads/totnumPairs
35,1.03093
36,1.03093
37,6.18557
38,5.15464
39,7.21649
40,5.15464
41,3.09278
42,3.09278
43,2.06186
44,4.12371
45,4.12371
46,2.06186
47,1.03093
48,1.03093
49,1.03093
50,3.09278
51,4.12371
52,2.06186
53,2.06186
54,1.03093
56,2.06186
57,1.03093
58,1.03093
61,1.03093
62,1.03093
63,3.09278
64,1.03093
68,1.03093
74,1.03093
77,1.03093
82,1.03093
84,1.03093
87,1.03093
89,1.03093
92,1.03093
93,1.03093
129,2.06186
135,1.03093
140,1.03093
147,1.03093
156,1.03093
157,1.03093
169,1.03093
175,1.03093
182,1.03093
206,1.03093
208,1.03093
210,1.03093
238,1.03093
246,1.03093
392,1.03093
393,1.03093
436,1.03093
503,1.03093
548,1.03093
