GroupID,StateA,StateB,StateC


2,11054964,1163913,6137
3,2067194,828871,8706
4,630466,455824,9450
5,230524,207638,8646
6,83858,83304,6986
7,29699,30686,5231
8,10289,11145,4045
9,3953,4078,3081
10,1621,1555,2756
11,847,681,2466
12,456,364,2161
13,285,162,1941
14,217,84,1684
15,158,43,1321
16,106,27,1148
17,79,18,901
18,79,21,708
19,55,15,534
20,49,12,462
21,47,6,356
22,34,12,301
23,39,4,242
24,29,7,204
25,19,4,176
26,18,3,157
27,11,5,153
28,13,4,98
29,13,8,87
30,13,4,67
31,9,2,52
32,11,1,36
33,7,0,34
34,6,4,24
35,0,3,26
36,6,2,11
37,5,1,6
38,6,1,9
39,5,0,9
40,1,0,8
41,3,0,8
42,2,1,10
43,3,0,4
44,2,1,7
45,0,0,6
46,2,1,5
47,1,1,4
48,0,0,4
49,1,0,5
50,2,0,3
51,1,0,4
53,1,0,9
54,1,0,2
56,0,0,1
57,0,0,5
58,0,0,3
59,0,0,4
60,0,0,1
62,0,0,2
63,0,0,3
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
72,0,0,1
74,0,0,2
75,0,0,1
77,0,0,1
79,0,0,1
80,0,0,3
81,0,0,1
83,0,0,1
84,0,0,1
85,0,0,2
86,0,0,1
87,0,0,1
88,0,0,1
90,0,0,3
92,0,0,1
93,0,0,2
94,0,0,1
97,0,0,1
98,0,0,2
99,0,0,2
100,0,0,3
101,0,0,2
102,0,0,2
103,0,0,2
105,0,0,1
106,0,0,1
108,0,0,1
109,0,0,2
111,0,0,1
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,3
118,0,0,3
121,0,0,1
122,0,0,5
123,0,0,3
124,0,0,1
125,0,0,1
126,0,0,3
127,0,0,3
128,0,0,4
129,0,0,4
130,0,0,1
132,0,0,2
133,0,0,1
134,0,0,1
135,0,0,1
137,0,0,2
138,0,0,4
139,0,0,1
140,0,0,1
141,0,0,1
143,0,0,1
144,0,0,1
145,0,0,2
146,0,0,1
148,0,0,1
152,0,0,1
156,0,0,1
157,0,0,3
158,0,0,2
159,0,0,4
161,0,0,1
163,0,0,1
164,0,0,2
166,0,0,2
168,0,0,2
169,0,0,1
171,0,0,2
173,0,0,1
179,0,0,1
182,0,0,1
183,0,0,2
185,0,0,1
186,0,0,1
190,0,0,1
191,0,0,3
192,0,0,1
198,0,0,1
199,0,0,1
201,0,0,2
202,0,0,1
205,0,0,1
208,0,0,1
210,0,0,1
212,0,0,1
219,0,0,1
220,0,0,1
221,0,0,1
232,0,0,1
261,0,0,1
268,0,0,1
